date,machine_name,region_id,genotype,incubator,sex,status
2016-01-15,ETHOSCOPE_021,8,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,9,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,10,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,11,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,12,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,13,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,14,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,15,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,16,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,17,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,18,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,19,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,20,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,1,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,2,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,3,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,4,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,5,PERSH,4,U,deadfly
2016-01-15,ETHOSCOPE_023,6,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,7,PERSH,4,F,deadfly
2016-01-15,ETHOSCOPE_023,8,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,9,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,10,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,11,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,12,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,13,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,14,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,15,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,16,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,17,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,18,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_023,19,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_023,20,PERSH,4,F,OK
